Bug ID,Bug Summary,Bug Description
CASSANDRA-19336,Repair causes out of memory,"CASSANDRA-14096 introduced {{repair_session_space}} as a limit for the memory usage for Merkle tree calculations during repairs. This limit is applied to the set of Merkle trees built for a received validation request ({{{}VALIDATION_REQ{}}}), divided by the replication factor so as not to overwhelm the repair coordinator, who will have requested RF sets of Merkle trees. That way the repair coordinator should only use {{repair_session_space}} for the RF Merkle trees.

However, a repair session without {{{}-pr-{}}}/{{{}-partitioner-range{}}} will send RF*RF validation requests, because the repair coordinator node has RF-1 replicas and is also the replica of RF-1 nodes. Since all the requests are sent at the same time, at some point the repair coordinator can have up to RF*{{{}repair_session_space{}}} worth of Merkle trees if none of the validation responses is fully processed before the last response arrives.

Even worse, if the cluster uses virtual nodes, many nodes can be replicas of the repair coordinator, and some nodes can be replicas of multiple token ranges. It would mean that the repair coordinator can send more than RF or RF*RF simultaneous validation requests.

For example, in an 11-node cluster with RF=3 and 256 tokens, we have seen a repair session involving 44 groups of ranges to be repaired. This produces 44*3=132 validation requests contacting all the nodes in the cluster. When the responses for all these requests start to arrive to the coordinator, each containing up to {{repair_session_space}}/3 of Merkle trees, they accumulate quicker than they are consumed, greatly exceeding {{repair_session_space}} and OOMing the node."
CASSANDRA-19269,NPE in MetaStrategy.java when collecting metrics,"Now that the metrics exporter has been removed in CASSANDRA-18743, I thought I'd take a stab at setting up a metrics collector through DropWizard.  I have a POC of an agent that exposes a Prometheus endpoint using the Prometheus simpleclient here: https://github.com/rustyrazorblade/cassandra-prometheus-exporter

There's build instructions in the README - it's just a simple agent on a background thread.

Unfortunately when trying to view the metrics, Cassandra throws an NPE exception, stack trace is here:

{code:java}
WARN  [qtp104447770-28] 2024-01-12 14:26:50,102 ServletHandler.java:522 - /metrics
java.lang.NullPointerException: null
	at org.apache.cassandra.locator.MetaStrategy.getReplicationFactor(MetaStrategy.java:64)
	at org.apache.cassandra.metrics.KeyspaceMetrics.lambda$new$12(KeyspaceMetrics.java:224)
	at org.apache.cassandra.metrics.KeyspaceMetrics$1.getValue(KeyspaceMetrics.java:344)
	at org.apache.cassandra.metrics.KeyspaceMetrics$1.getValue(KeyspaceMetrics.java:338)
	at org.apache.cassandra.metrics.StorageMetrics.lambda$static$0(StorageMetrics.java:40)
	at org.apache.cassandra.metrics.StorageMetrics.lambda$createSummingGauge$2(StorageMetrics.java:55)
	at java.base/java.util.stream.ReferencePipeline$5$1.accept(ReferencePipeline.java:229)
	at com.google.common.collect.CollectSpliterators$1.lambda$forEachRemaining$1(CollectSpliterators.java:128)
	at java.base/java.util.Spliterators$ArraySpliterator.forEachRemaining(Spliterators.java:948)
	at com.google.common.collect.CollectSpliterators$1.forEachRemaining(CollectSpliterators.java:128)
	at java.base/java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:484)
	at java.base/java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:474)
	at java.base/java.util.stream.ReduceOps$ReduceOp.evaluateSequential(ReduceOps.java:913)
	at java.base/java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:234)
	at java.base/java.util.stream.LongPipeline.reduce(LongPipeline.java:474)
	at java.base/java.util.stream.LongPipeline.sum(LongPipeline.java:432)
	at org.apache.cassandra.metrics.StorageMetrics.lambda$createSummingGauge$3(StorageMetrics.java:56)
	at io.prometheus.client.dropwizard.DropwizardExports.fromGauge(DropwizardExports.java:47)
	at io.prometheus.client.dropwizard.DropwizardExports.collect(DropwizardExports.java:133)
	at io.prometheus.client.Collector.collect(Collector.java:45)
	at io.prometheus.client.CollectorRegistry$MetricFamilySamplesEnumeration.findNextElement(CollectorRegistry.java:204)
	at io.prometheus.client.CollectorRegistry$MetricFamilySamplesEnumeration.<init>(CollectorRegistry.java:162)
	at io.prometheus.client.CollectorRegistry.filteredMetricFamilySamples(CollectorRegistry.java:140)
	at io.prometheus.client.exporter.MetricsServlet.doGet(MetricsServlet.java:43)
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:735)
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:848)
	at org.eclipse.jetty.servlet.ServletHolder.handle(ServletHolder.java:648)
	at org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:455)
	at org.eclipse.jetty.server.handler.ContextHandler.doHandle(ContextHandler.java:1072)
	at org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:382)
	at org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1006)
	at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:135)
	at org.eclipse.jetty.server.handler.HandlerWrapper.handle(HandlerWrapper.java:116)
	at org.eclipse.jetty.server.Server.handle(Server.java:365)
	at org.eclipse.jetty.server.AbstractHttpConnection.handleRequest(AbstractHttpConnection.java:485)
	at org.eclipse.jetty.server.AbstractHttpConnection.headerComplete(AbstractHttpConnection.java:926)
	at org.eclipse.jetty.server.AbstractHttpConnection$RequestHandler.headerComplete(AbstractHttpConnection.java:988)
	at org.eclipse.jetty.http.HttpParser.parseNext(HttpParser.java:635)
	at org.eclipse.jetty.http.HttpParser.parseAvailable(HttpParser.java:235)
	at org.eclipse.jetty.server.AsyncHttpConnection.handle(AsyncHttpConnection.java:82)
	at org.eclipse.jetty.io.nio.SelectChannelEndPoint.handle(SelectChannelEndPoint.java:627)
	at org.eclipse.jetty.io.nio.SelectChannelEndPoint$1.run(SelectChannelEndPoint.java:51)
	at org.eclipse.jetty.util.thread.QueuedThreadPool.runJob(QueuedThreadPool.java:608)
	at org.eclipse.jetty.util.thread.QueuedThreadPool$3.run(QueuedThreadPool.java:543)
	at java.base/java.lang.Thread.run(Thread.java:829)
{code}

Related [discussion thread|https://lists.apache.org/thread/lppjlxrd91qn0r0dkz80r5y843jwl1qo]."
CASSANDRA-19255,StorageService.getRangeToEndpointMap() MBean operation is running into NPE for LocalStrategy keysapces,"When the StorageService's MBean operation getRangeToEndpointMap is called for LocalStrategy keyspaces, then it is running into NPE. It is working in earlier major version, but failing in trunk. It can be reproduced in local using JConsole or using a tool like `jmxterm` (unfortunately these tools are not giving full stacktrace). Observed the same behavior with getRangeToEndpointWithPortMap operation too."
CASSANDRA-19253,(Accord) NPE while trying to serialize FoundKnownMap as value is null half the time but unexpected while serializing,"{code}
java.lang.NullPointerException
	org.apache.cassandra.service.accord.serializers.CommandSerializers$3.serializedSize(CommandSerializers.java:277)
	org.apache.cassandra.service.accord.serializers.CommandSerializers$3.serializedSize(CommandSerializers.java:253)
	org.apache.cassandra.service.accord.serializers.CheckStatusSerializers$1.serializedSize(CheckStatusSerializers.java:75)
	org.apache.cassandra.service.accord.serializers.CheckStatusSerializers$1.serializedSize(CheckStatusSerializers.java:54)
	org.apache.cassandra.service.accord.serializers.CheckStatusSerializers$2.serializedSize(CheckStatusSerializers.java:115)
{code}

{code}
java.lang.NullPointerException
	org.apache.cassandra.service.accord.serializers.CommandSerializers$3.serialize(CommandSerializers.java:257)
	org.apache.cassandra.service.accord.serializers.CommandSerializers$3.serialize(CommandSerializers.java:253)
	org.apache.cassandra.service.accord.serializers.CheckStatusSerializers$1.serialize(CheckStatusSerializers.java:58)
	org.apache.cassandra.service.accord.serializers.CheckStatusSerializers$1.serialize(CheckStatusSerializers.java:54)
	org.apache.cassandra.service.accord.serializers.CheckStatusSerializers$2.serialize(CheckStatusSerializers.java:91)
{code}
"
CASSANDRA-19182,IR may leak SSTables with pending repair when coming from streaming,"There is a race condition where SSTables from streaming may race with pending repair cleanup in compaction causing us to cleanup the pending repair state in compaction while the SSTables are being added to it; this leads to IR failing in the future when those files get selected for repair.

This problem was hard to track down as the in-memory state was wiped, so we don’t have any details.  To better aid these types of investigation we should make sure the repair vtables get updated when IR session failures are submitted"
CASSANDRA-19177,SAI query timeouts can cause resource leaks,There are several places in the SAI query path where a query timeout can result in a resource not being closed correctly. We need to make sure that wherever QueryContext.checkpoint is called we catch the resulting exception and close any open resources.
CASSANDRA-19169,Don't NPE when initializing CFSs for local system keyspaces with UCS,"When UnifiedCompactionStrategy is used as the default, NPEs are thrown when
flushing the system keyspace tables early during startup. The system keyspace is
initialised before the cluster metadata, but UCS currently tries to access the
current epoch when initialising the shard manager, to determine whether the
local ranges are out of date. This isn't necessary for the system keyspaces as
they use LocalStrategy and cover the whole token space."
CASSANDRA-19166,StackOverflowError on ALTER after many previous schema changes,"Since 4.1, TableMetadataRefCache re-wraps its fields in Collections.unmodifiableMap on every local schema update. This causes TableMetadataRefCache's Map fields to reference chains of nested UnmodifiableMaps. Eventually, this leads to a StackOverflowError on get(), which has to traverse lots of these maps to fetch the actual value.

https://github.com/apache/cassandra/blob/4059faf5b948c5a285c25fb0f2e4c4288ee7c305/src/java/org/apache/cassandra/schema/TableMetadataRefCache.java#L53

The issue goes away on restart, since TableMetadataRefCache is reloaded from disk.

See CASSANDRA-17044, when TableMetadataRefCache was introduced. This issue was discovered on a real test cluster where schema changes were failing, via a heap dump."
CASSANDRA-19138,Flush sealed period/snapshot tables on every write,"These tables are low throughput, so flushing on every write would not have a significant perf impact, but would improve availability of snapshots for recovery and replay at startup"
CASSANDRA-19125,Investigate increased memory usage in tests with TCM,A few tests started failing with OOM after we committed TCM - we should investigate why/if we use more memory
